Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
18,271,9,Sorcha,MCANESPY,828,0,0,Excluded,6,Independent
18,272,9,Ciaran,MCCLEAN,458,0,0,Excluded,5,Green Party
18,273,9,Daniel,MCCROSSAN,4287,0,5552,Elected,8,Social Democratic and Labour Party
18,274,9,Grace,MCDERMOTT,3711,0,3974,,,Sinn Fein
18,275,9,Barry,MCELDUFF,4568,2,5252,,,Sinn Fein
18,276,9,Susan-Anne,WHITE,85,0,0,Excluded,2,Independent
18,259,10,Michaela,BOYLE,4460,3.52,4958.52,,,Sinn Fein
18,260,10,Allan,BRESLAND,3884,0,0,Excluded,8,Democratic Unionist Party
18,261,10,Barry,BROWN,547,0,0,Excluded,4,Cannabis Is Safer Than Alcohol
18,262,10,Thomas,BUCHANAN,4650,-2825,5545,Elected,9,Democratic Unionist Party
18,263,10,Josephine Anne,DEENAN,1778,0,0,Excluded,7,Independent
18,264,10,Stephen,DONNELLY,494,0,0,Excluded,3,Alliance Party
18,265,10,Corey,FRENCH,124,0,0,Excluded,2,Independent
18,266,10,Ross,HUSSEY,4441,2808.08,7932.08,Elected,10,Ulster Unionist Party
18,267,10,Patsy,KELLY,661,0,0,Excluded,6,Independent
18,268,10,Roger,LOMAS,44,0,0,Excluded,1,NI Conservatives
18,269,10,Declan,MCALEER,3565,0,4009,,,Sinn Fein
18,270,10,Laura,MCANEA,224,0,0,Excluded,2,Animal Welfare Party
18,271,10,Sorcha,MCANESPY,828,0,0,Excluded,6,Independent
18,272,10,Ciaran,MCCLEAN,458,0,0,Excluded,5,Green Party
18,273,10,Daniel,MCCROSSAN,4287,0,5552,Elected,8,Social Democratic and Labour Party
18,274,10,Grace,MCDERMOTT,3711,0,3974,,,Sinn Fein
18,275,10,Barry,MCELDUFF,4568,0,5252,,,Sinn Fein
18,276,10,Susan-Anne,WHITE,85,0,0,Excluded,2,Independent
18,259,11,Michaela,BOYLE,4460,34.32,4992.84,Elected,11,Sinn Fein
18,260,11,Allan,BRESLAND,3884,0,0,Excluded,8,Democratic Unionist Party
18,261,11,Barry,BROWN,547,0,0,Excluded,4,Cannabis Is Safer Than Alcohol
18,262,11,Thomas,BUCHANAN,4650,0,5545,Elected,9,Democratic Unionist Party
18,263,11,Josephine Anne,DEENAN,1778,0,0,Excluded,7,Independent
18,264,11,Stephen,DONNELLY,494,0,0,Excluded,3,Alliance Party
18,265,11,Corey,FRENCH,124,0,0,Excluded,2,Independent
18,266,11,Ross,HUSSEY,4441,-2387.08,5545,Elected,10,Ulster Unionist Party
18,267,11,Patsy,KELLY,661,0,0,Excluded,6,Independent
18,268,11,Roger,LOMAS,44,0,0,Excluded,1,NI Conservatives
18,269,11,Declan,MCALEER,3565,7.92,4016.92,Elected,11,Sinn Fein
18,270,11,Laura,MCANEA,224,0,0,Excluded,2,Animal Welfare Party
18,271,11,Sorcha,MCANESPY,828,0,0,Excluded,6,Independent
18,272,11,Ciaran,MCCLEAN,458,0,0,Excluded,5,Green Party
18,273,11,Daniel,MCCROSSAN,4287,0,5552,Elected,8,Social Democratic and Labour Party
18,274,11,Grace,MCDERMOTT,3711,22,3996,Excluded,11,Sinn Fein
18,275,11,Barry,MCELDUFF,4568,10.56,5262.56,Elected,11,Sinn Fein
18,276,11,Susan-Anne,WHITE,85,0,0,Excluded,2,Independent
