Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Candidate_First_Pref_Votes,Status,Occurred_On_Count,Gender,Twitter
North Down,11,187,Conal,BROWNE,0,23,Social Democratic and Labour Party,426,Excluded,5,M,@ConalBrowne
North Down,11,188,Alan,CHAMBERS,0,26,Ulster Unionist Party,3275,Elected,11,M,@alcham49
North Down,11,189,Gordon Mervyn,DUNNE,1,20,Democratic Unionist Party,4004,Elected,2,M,@GordonDunneMLA 
North Down,11,190,Alex,EASTON,1,20,Democratic Unionist Party,6357,Elected,1,M,
North Down,11,191,Chris,EISENSTADT,0,26,Ulster Unionist Party,217,Excluded,3,M,@ChrisEisenstadt
North Down,11,192,Stephen,FARRY,1,19,Alliance Party,3012,Elected,11,M,@StephenFarryMLA
North Down,11,193,Maria,LOURENCO,0,989,NI Labour Representation Committee,177,Excluded,2,F,@MariaLourenco74
North Down,11,194,Therese,MCCARTNEY,0,24,Sinn Fein,307,Excluded,4,F,@tmccartney12
North Down,11,195,Carl,MCCLEAN,0,26,Ulster Unionist Party,1495,Excluded,10,M,@ccmccuup
North Down,11,196,Andrew,MUIR,0,19,Alliance Party,2387,Excluded,11,M,@AndrewMuirNI
North Down,11,197,Bill,PIPER,0,689,UK Independence Party,681,Excluded,8,M,
North Down,11,198,Frank,SHIVERS,0,991,NI Conservatives,672,Excluded,7,M,@Frankshivers
North Down,11,199,Peter James,WEIR,1,20,Democratic Unionist Party,3085,Elected,11,M,@peterweirmla
North Down,11,200,Brian,WILSON,0,21,Independent,1415,Excluded,9,M,
South Antrim,12,201,Steve,AIKEN,0,26,Ulster Unionist Party,3280,Elected,7,M,@SteveAikenUUP
South Antrim,12,202,Richard William,CAIRNS,0,141,Traditional Unionist Voice,1318,Excluded,3,M,@rickwcairns
South Antrim,12,203,Pam,CAMERON,1,20,Democratic Unionist Party,4589,Elected,5,F,@Cameron1Vote
South Antrim,12,204,Trevor,CLARKE,1,20,Democratic Unionist Party,3585,Elected,7,M,@VoteClarke1
South Antrim,12,205,Adrian David,COCHRANE-WATSON,1,26,Ulster Unionist Party,1947,Excluded,4,M,@AdrianUUP
South Antrim,12,206,Helen,FARLEY,0,111,Green Party,569,Excluded,2,F,@HelenFarley1
South Antrim,12,207,David RJ,FORD,1,19,Alliance Party,3119,Elected,6,M,@DavidFordMLA
South Antrim,12,208,Paul,GIRVAN,1,20,Democratic Unionist Party,5014,Elected,2,M,@VoteGirvan1
South Antrim,12,209,Robert,HILL,0,689,UK Independence Party,574,Excluded,2,M,
South Antrim,12,210,Declan,KEARNEY,0,24,Sinn Fein,4632,Elected,6,M,@DeclanKearneySF
South Antrim,12,211,Roisin,LYNCH,0,23,Social Democratic and Labour Party,3366,Excluded,5,F,@roisinlynchsdlp
South Antrim,12,212,David,MCMASTER,0,21,Independent,483,Excluded,1,M,@davidmcmaster35
South Antrim,12,213,Paul,MICHAEL,0,26,Ulster Unionist Party,2565,Excluded,7,M,@PaulmichaelUUP
South Antrim,12,214,Mark David,YOUNG,0,991,NI Conservatives,72,Excluded,1,M,
South Down,14,215,Sinead,BRADLEY,0,23,Social Democratic and Labour Party,5059,Elected,6,F,@SineadBradleySD
South Down,14,216,Patrick,BROWN,0,19,Alliance Party,2200,Excluded,3,M,@Paddy_JBrown
South Down,14,217,Michael,GRAY-SLOAN,0,24,Sinn Fein,3520,Excluded,4,M,@mgs_eire
South Down,14,218,John,HARDY,0,111,Green Party,820,Excluded,1,M,@jonto1983
South Down,14,219,Chris,HAZZARD,1,24,Sinn Fein,5045,Elected,6,M,@ChrisHazzardSF
South Down,14,220,John,MCCALLISTER,1,21,Independent,1156,Excluded,1,M,@JohnMcCallister
South Down,14,221,Colin,MCGRATH,0,23,Social Democratic and Labour Party,4288,Elected,7,M,@ColinSDLP
South Down,14,222,Harold,MCKEE,0,26,Ulster Unionist Party,3481,Elected,5,M,
South Down,14,223,Henry,REILLY,0,141,Traditional Unionist Voice,2718,Excluded,2,M,
South Down,14,224,Sean,ROGERS,1,23,Social Democratic and Labour Party,3564,Excluded,7,M,
South Down,14,225,Caitriona,RUANE,1,24,Sinn Fein,4191,Elected,7,F,@caitrionaruane
South Down,14,226,Jim,WELLS,1,20,Democratic Unionist Party,5033,Elected,3,M,@Jim_Wells_MLA
