Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
North Antrim,9,155,Connor,DUNCAN,0,23,Social Democratic and Labour Party,,north-antrim,M
North Antrim,9,156,Paul,FREW,1,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,157,Timothy,GASTON,0,141,Traditional Unionist Voice,,north-antrim,M
North Antrim,9,158,Phillip,LOGAN,0,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,159,Stephen,MCFARLAND,0,19,Alliance Party,,north-antrim,M
North Antrim,9,160,David,MCILVEEN,1,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,161,Daithi,MCKAY,1,24,Sinn Fein,,north-antrim,M
North Antrim,9,162,James,SIMPSON,0,991,NI Conservatives,,north-antrim,M
North Antrim,9,163,Mervyn,STOREY,1,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,164,Robin,SWANN,1,26,Ulster Unionist Party,,north-antrim,M
North Antrim,9,165,Andrew,WRIGHT,0,26,Ulster Unionist Party,,north-antrim,M
North Down,11,166,Steven,AGNEW,1,111,Green Party,,north-down,M
North Down,11,167,John,BRENNAN,0,141,Traditional Unionist Voice,,north-down,M
North Down,11,168,Conal,BROWNE,0,23,Social Democratic and Labour Party,,north-down,M
North Down,11,169,Alan,CHAMBERS,0,26,Ulster Unionist Party,,north-down,M
North Down,11,170,Gordon,DUNNE,1,20,Democratic Unionist Party,,north-down,M
North Down,11,171,Alex,EASTON,1,20,Democratic Unionist Party,,north-down,M
North Down,11,172,Chris,EISENSTADT,0,26,Ulster Unionist Party,,north-down,M
North Down,11,173,Stephen,FARRY,1,19,Alliance Party,,north-down,M
North Down,11,174,Carl,MCCLEAN,0,26,Ulster Unionist Party,,north-down,M
North Down,11,175,Andrew,MUIR,0,19,Alliance Party,,north-down,M
North Down,11,176,Bill,PIPER,0,689,UK Independence Party,,north-down,M
North Down,11,177,Frank,SHIVERS,0,991,NI Conservatives,,north-down,M
North Down,11,178,Peter,WEIR,1,20,Democratic Unionist Party,,north-down,M
North Down,11,179,Brian,WILSON,0,21,Independent,,north-down,M
South Antrim,12,180,Steve,AIKEN,0,26,Ulster Unionist Party,,south-antrim,M
South Antrim,12,181,Richard,CAIRNS,0,141,Traditional Unionist Voice,,south-antrim,M
South Antrim,12,182,Pam,CAMERON,1,20,Democratic Unionist Party,,south-antrim,F
South Antrim,12,183,Trevor,CLARKE,1,20,Democratic Unionist Party,,south-antrim,M
South Antrim,12,184,Adrian,COCHRANE-WATSON,1,26,Ulster Unionist Party,,south-antrim,M
South Antrim,12,185,Helen,FARLEY,0,111,Green Party,,south-antrim,F
South Antrim,12,186,David,FORD,1,19,Alliance Party,,south-antrim,M
South Antrim,12,187,Paul,GIRVAN,1,20,Democratic Unionist Party,,south-antrim,M
South Antrim,12,188,Robert,HILL,0,689,UK Independence Party,,south-antrim,M
South Antrim,12,189,Declan,KEARNEY,0,24,Sinn Fein,,south-antrim,M
South Antrim,12,190,Roisin,LYNCH,0,23,Social Democratic and Labour Party,,south-antrim,F
South Antrim,12,191,David,MCMASTER,0,21,Independent,,south-antrim,M
South Antrim,12,192,Paul,MICHAEL,0,26,Ulster Unionist Party,,south-antrim,M
South Antrim,12,193,Mark,YOUNG,0,991,NI Conservatives,,south-antrim,M
South Down,14,194,Sinead,BRADLEY,0,23,Social Democratic and Labour Party,,south-down,F
South Down,14,195,Patrick,BROWN,0,19,Alliance Party,,south-down,M
South Down,14,196,Michael,GRAY-SLOAN,0,24,Sinn Fein,,south-down,M
South Down,14,197,John,HARDY,0,111,Green Party,,south-down,M
South Down,14,198,Chris,HAZZARD,1,24,Sinn Fein,,south-down,M
South Down,14,199,John,MCCALLISTER,1,21,Independent,,south-down,M
South Down,14,200,Colin,MCGRATH,0,23,Social Democratic and Labour Party,,south-down,M
South Down,14,201,Harold,MCKEE,0,26,Ulster Unionist Party,,south-down,M
South Down,14,202,Henry,REILLY,0,141,Traditional Unionist Voice,,south-down,M
South Down,14,203,Sean,ROGERS,1,23,Social Democratic and Labour Party,,south-down,M
South Down,14,204,Caitriona,RUANE,1,24,Sinn Fein,,south-down,F
South Down,14,205,Jim,WELLS,1,20,Democratic Unionist Party,,south-down,M
Strangford,15,206,Kellie,ARMSTRONG,0,19,Alliance Party,,strangford,F
