text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @ChangeTrust: Voting is important but democracy doesn't stop there. Our #CivicActivism Toolkit - https://t.co/SAzPjQGHy9 #ae16 https://t?,FALSE,0,NA,05/05/16 09:16,FALSE,NA,728151493421867000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",apallan,4,TRUE,FALSE,NA,NA
"RT @U105radio: If you face difficulties voting at a polling station today, you can call the Electoral Office on 0800 4320 712 #ae16 #U105",FALSE,0,NA,05/05/16 09:16,FALSE,NA,728151468855861000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",brendanjharkin,2,TRUE,FALSE,NA,NA
DUP at his shoulder. Mike Nesbitt has cast his vote at Gilnahirk Primary. #PollingDay #ae16 https://t.co/ahqfymclF4,FALSE,0,NA,05/05/16 09:16,FALSE,NA,728151451533333000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mmchugh02,0,FALSE,FALSE,NA,NA
"RT @winstonsmith121: 'Super Thursday' is followed by 'Over Compensating With My Massive Rosette Friday'. 

#ae16",FALSE,0,NA,05/05/16 09:16,FALSE,NA,728151411154784000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",brendanjharkin,1,TRUE,FALSE,NA,NA
Today McCann's my man @eamonderry. #ae16,FALSE,0,NA,05/05/16 09:16,FALSE,NA,728151379638788000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DeeCurran1,0,FALSE,FALSE,NA,NA
"RT @StratagemNI: #AE16 is underway in #Foyle, where seven outgoing MLAs are competing for six seats. https://t.co/5G7PhXQMzz",FALSE,0,NA,05/05/16 09:16,FALSE,NA,728151324840198000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MaeveMcLaughli1,5,TRUE,FALSE,NA,NA
"If you're still thinking about it in South Belfast, it's time to go Green! #AE16 ?
 https://t.co/fbCeeuifSF",FALSE,1,NA,05/05/16 09:16,FALSE,NA,728151301951889000,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",connal99,1,FALSE,FALSE,NA,NA
Democratic Duty Done - supporting @StevenAgnew in North Down. #AE16. #weegreenman,FALSE,4,NA,05/05/16 09:16,FALSE,NA,728151293131301000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TesTubEcology,3,FALSE,FALSE,NA,NA
RT @loreillysf: Best of luck to all our comrades in #ae16 @sinnfeinireland One party One island One struggle #JoinTheRising #VotailSinnFein,FALSE,0,NA,05/05/16 09:16,FALSE,NA,728151289218015000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IrelandUncut,7,TRUE,FALSE,NA,NA
"RT @LADFLEG: Democracy doesn't work 

#ae16",FALSE,0,NA,05/05/16 09:15,FALSE,NA,728151226404082000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",brianjohnspencr,3,TRUE,FALSE,NA,NA
RT @AndersonDUP: Polls open! Lets make @DUPleader First Minister! #ANDERSON1 #upperbann #ae16 https://t.co/1bwMwKh8RV,FALSE,0,NA,05/05/16 09:15,FALSE,NA,728151210297958000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK4NationsUnity,7,TRUE,FALSE,NA,NA
Just been to vote in #AE16. Polling is steady in Sixmilecross. Met leading Civil Rights activist in Tyrone on way in. @Ulster_Herald,FALSE,0,NA,05/05/16 09:15,FALSE,NA,728151180421964000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AlanJRodgers,1,FALSE,FALSE,NA,NA
"'Super Thursday' is followed by 'Over Compensating With My Massive Rosette Friday'. 

#ae16",FALSE,1,NA,05/05/16 09:15,FALSE,NA,728151171815248000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonsmith121,1,FALSE,FALSE,NA,NA
RT @felicityhuston: #ae16 Please go out and vote. 100 years ago women were dying here to get the vote. It still matters. Ask anyone living?,FALSE,0,NA,05/05/16 09:15,FALSE,NA,728151126260900000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",apallan,12,TRUE,FALSE,NA,NA
"If you face difficulties voting at a polling station today, you can call the Electoral Office on 0800 4320 712 #ae16 #U105",FALSE,1,NA,05/05/16 09:15,FALSE,NA,728151086935081000,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",U105radio,2,FALSE,FALSE,NA,NA
"RT @decombustion: ""You got my wee number one, so you did.""  The nicest thing you can say to a @GreenPartyNI candidate today.  #FST16 #ae16?",FALSE,0,NA,05/05/16 09:15,FALSE,NA,728150998837928000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jonto1983,2,TRUE,FALSE,NA,NA
